Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 275846:5045 | 06/27/16 13:53:32 | 6    | 6    | 0.649574960    | 0.600261431   |
| 275847:5045 | 06/27/16 13:59:22 | 2263 | 2263 | 203.811335552  | 198.947361624 |
| 275886:5048 | 06/28/16 08:40:35 | 45   | 45   | 9.776700236    | 8.959741722   |
| 275887:5048 | 06/28/16 09:06:36 | 48   | 48   | 10.143029305   | 9.198721089   |
| 275890:5048 | 06/28/16 09:27:45 | 1393 | 1393 | 244.957583971  | 235.220049795 |
| 275911:5052 | 06/29/16 01:49:35 | 379  | 379  | 76.838744401   | 73.582913595  |
| 275912:5052 | 06/29/16 04:21:23 | 289  | 289  | 53.998992399   | 51.914262617  |
| 275913:5052 | 06/29/16 06:19:55 | 475  | 475  | 80.635038132   | 76.634940143  |
| 275918:5052 | 06/29/16 09:29:20 | 361  | 361  | 55.814739691   | 53.905285582  |
| 275920:5052 | 06/29/16 11:56:25 | 459  | 459  | 63.787866029   | 61.253099608  |
| 275921:5052 | 06/29/16 14:59:30 | 22   | 22   | 2.943777662    | 2.689974793   |
| 275922:5052 | 06/29/16 15:13:10 | 3    | 3    | 0.398493174    | 0.274320621   |
| 275923:5052 | 06/29/16 15:17:42 | 126  | 126  | 16.503588689   | 15.909136941  |
| 275931:5052 | 06/29/16 16:34:22 | 89   | 89   | 11.229990636   | 10.912847080  |
| 275963:5056 | 06/30/16 01:02:54 | 91   | 91   | 20.866396981   | 19.774145185  |
| 276064:5059 | 06/30/16 19:19:53 | 22   | 22   | 4.723454761    | 0.108243442   |
| 276092:5060 | 07/01/16 02:14:32 | 76   | 76   | 15.781805389   | 14.768384696  |
| 276095:5060 | 07/01/16 02:56:43 | 5    | 5    | 1.095176333    | 0.216107409   |
| 276097:5060 | 07/01/16 03:07:31 | 507  | 507  | 103.587052755  | 99.405227783  |
| 276242:5069 | 07/02/16 14:05:34 | 1664 | 1664 | 286.413839577  | 272.679185361 |
| 276243:5069 | 07/03/16 00:56:20 | 610  | 610  | 82.795017003   | 78.092837810  |
| 276244:5069 | 07/03/16 05:04:17 | 1200 | 1200 | 137.388601190  | 132.488998797 |
| 276282:5071 | 07/03/16 18:15:01 | 1068 | 1068 | 214.762374182  | 206.020156371 |
| 276283:5071 | 07/04/16 01:14:13 | 1085 | 1085 | 173.596375921  | 166.967551933 |
| 276315:5072 | 07/04/16 11:19:05 | 178  | 178  | 36.361600387   | 34.450825783  |
| 276317:5072 | 07/04/16 12:33:38 | 136  | 136  | 27.292859294   | 26.316937149  |
| 276318:5072 | 07/04/16 13:30:33 | 568  | 568  | 101.846346778  | 98.364174007  |
| 276327:5072 | 07/04/16 17:27:44 | 60   | 60   | 10.028395789   | 9.782407767   |
| 276352:5073 | 07/04/16 21:20:20 | 38   | 38   | 8.311736421    | 7.687984137   |
| 276355:5073 | 07/04/16 21:39:48 | 33   | 33   | 6.473197403    | 6.205236892   |
| 276357:5073 | 07/04/16 22:00:34 | 74   | 74   | 15.688920077   | 15.013520144  |
| 276361:5073 | 07/04/16 22:36:15 | 826  | 826  | 155.762121578  | 149.824091528 |
| 276363:5073 | 07/05/16 04:07:36 | 1481 | 1481 | 216.289095986  | 206.848227196 |
| 276384:5073 | 07/05/16 13:47:06 | 1116 | 1116 | 125.087740966  | 121.517288829 |
| 276437:5076 | 07/06/16 02:58:47 | 2129 | 2129 | 370.603862326  | 356.334756315 |
| 276454:5076 | 07/06/16 18:08:15 | 527  | 527  | 65.825219945   | 63.924279422  |
| 276458:5076 | 07/07/16 02:00:22 | 341  | 341  | 33.947904125   | 33.169134071  |
| 276495:5078 | 07/07/16 11:20:57 | 182  | 182  | 39.880755647   | 38.062164065  |
| 276501:5078 | 07/07/16 12:47:40 | 2544 | 2544 | 416.849399135  | 401.733502573 |
| 276502:5078 | 07/08/16 05:21:18 | 740  | 740  | 88.004237424   | 85.357449320  |
| 276525:5080 | 07/08/16 14:15:18 | 2805 | 2805 | 419.332046893  | 405.302921231 |
| 276527:5080 | 07/09/16 08:34:41 | 214  | 214  | 23.128707021   | 22.408004841  |
| 276528:5080 | 07/09/16 10:01:49 | 391  | 391  | 39.368912984   | 38.349578314  |
| 276542:5083 | 07/09/16 16:32:22 | 784  | 784  | 156.047834203  | 148.442843174 |
| 276543:5083 | 07/09/16 21:39:40 | 948  | 948  | 153.680396569  | 148.143518874 |
| 276544:5083 | 07/10/16 03:53:47 | 160  | 160  | 22.897844907   | 21.993585095  |
| 276545:5083 | 07/10/16 04:59:24 | 212  | 212  | 28.392631108   | 27.423889477  |
| 276581:5085 | 07/10/16 12:24:16 | 366  | 366  | 77.140937434   | 74.062946532  |
| 276582:5085 | 07/10/16 14:52:52 | 871  | 871  | 155.304172023  | 150.007109109 |
