Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 301665:6119 | 08/23/17 15:07:51 | 463  | 463  | 69.777092944   | 68.033935447  |
| 301694:6123 | 08/24/17 04:23:23 | 67   | 67   | 19.312015067   | 17.576372852  |
| 301912:6136 | 08/26/17 13:57:23 | 332  | 332  | 40.029268588   | 38.278525140  |
| 301913:6136 | 08/26/17 16:26:53 | 58   | 55   | 6.611712557    | 5.957839622   |
| 301914:6136 | 08/26/17 16:50:05 | 350  | 350  | 36.518759041   | 35.547413921  |
| 301941:6138 | 08/27/17 09:32:02 | 538  | 538  | 77.012815899   | 74.506651932  |
| 301959:6140 | 08/27/17 18:23:25 | 1909 | 1909 | 283.762720710  | 275.846203190 |
| 301960:6140 | 08/28/17 06:47:35 | 147  | 147  | 14.556974332   | 14.257567829  |
| 301970:6141 | 08/28/17 10:42:12 | 118  | 118  | 23.055199102   | 22.349098456  |
| 301984:6142 | 08/28/17 14:13:01 | 301  | 300  | 58.994288853   | 55.474661848  |
| 301985:6142 | 08/28/17 16:11:52 | 367  | 360  | 63.240554859   | 60.037888452  |
| 301986:6142 | 08/28/17 18:34:30 | 381  | 379  | 56.199148136   | 54.356914334  |
| 301987:6142 | 08/28/17 21:03:26 | 1128 | 1128 | 124.891454922  | 122.752521295 |
| 301997:6143 | 08/29/17 06:55:19 | 371  | 361  | 69.910933731   | 65.075701877  |
| 301998:6143 | 08/29/17 09:19:31 | 1704 | 1704 | 221.794374442  | 217.462641877 |
| 302019:6146 | 08/30/17 03:40:54 | 53   | 53   | 9.802269508    | 9.112865042   |
| 302026:6147 | 08/30/17 06:49:09 | 37   | 30   | 6.700605963    | 4.651888333   |
| 302029:6147 | 08/30/17 07:16:38 | 98   | 92   | 19.796769180   | 15.281543582  |
| 302031:6147 | 08/30/17 08:08:29 | 818  | 818  | 134.787196629  | 129.133210182 |
| 302033:6147 | 08/30/17 13:34:23 | 46   | 44   | 6.292104863    | 5.173654012   |
| 302034:6147 | 08/30/17 13:54:42 | 20   | 12   | 2.694971671    | 0.483547689   |
| 302036:6147 | 08/30/17 14:03:43 | 34   | 32   | 4.529133453    | 4.108399352   |
| 302037:6147 | 08/30/17 14:19:49 | 18   | 17   | 2.365534831    | 0.637288779   |
| 302038:6147 | 08/30/17 14:28:27 | 10   | 10   | 1.303898806    | 0.574951920   |
| 302040:6147 | 08/30/17 14:35:43 | 174  | 168  | 22.174290742   | 20.954841326  |
| 302041:6147 | 08/30/17 15:44:00 | 72   | 65   | 8.745695643    | 7.738132616   |
| 302042:6147 | 08/30/17 16:12:11 | 523  | 516  | 56.857265526   | 54.983584677  |
| 302043:6147 | 08/30/17 19:35:17 | 228  | 228  | 21.191557469   | 20.761524220  |
| 302131:6152 | 08/31/17 12:32:49 | 873  | 873  | 114.100109394  | 111.634653289 |
| 302159:6155 | 09/01/17 00:37:45 | 108  | 108  | 16.991342428   | 16.076609065  |
| 302163:6156 | 09/01/17 03:33:23 | 1199 | 1191 | 152.420085211  | 146.553307202 |
| 302165:6156 | 09/01/17 11:25:29 | 85   | 80   | 7.724232432    | 6.889985588   |
| 302166:6156 | 09/01/17 11:58:48 | 16   | 16   | 1.543378992    | 1.518819678   |
| 302225:6158 | 09/01/17 18:41:42 | 868  | 868  | 117.430288007  | 114.788470158 |
