Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_BRIL.json -i ../LumiJSON/Cert_314472-325175_13TeV_PromptReco_Collisions18_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 320024:6957 | 07/21/18 23:21:36 | 410  | 410  | 131.142365858  | 127.120493505 |
| 320025:6957 | 07/22/18 02:03:20 | 113  | 113  | 31.425108289   | 30.315060913  |
| 320026:6957 | 07/22/18 02:49:54 | 204  | 204  | 51.939465743   | 50.449768736  |
| 320038:6960 | 07/22/18 07:09:04 | 621  | 621  | 228.566149990  | 219.824830288 |
| 320039:6960 | 07/22/18 11:13:45 | 30   | 30   | 9.201706465    | 8.253529057   |
| 320040:6960 | 07/22/18 11:29:06 | 737  | 737  | 184.846858648  | 178.869007428 |
| 320059:6961 | 07/22/18 18:43:23 | 105  | 105  | 43.838989282   | 41.117888627  |
| 320060:6961 | 07/22/18 19:27:05 | 42   | 42   | 16.613060813   | 15.809303166  |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 19.197332960   | 18.369175942  |
| 320062:6961 | 07/22/18 20:06:50 | 21   | 21   | 8.045127942    | 6.994968430   |
| 320063:6961 | 07/22/18 20:17:40 | 64   | 64   | 23.825495855   | 22.291725548  |
| 320064:6961 | 07/22/18 20:48:07 | 200  | 200  | 68.797438293   | 65.261621093  |
| 320065:6961 | 07/22/18 22:09:30 | 920  | 920  | 236.874324785  | 228.915166473 |
| 320673:7005 | 08/01/18 02:33:01 | 867  | 867  | 67.163304599   | 65.844148851  |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 35.009770779   | 34.440215943  |
| 320688:7006 | 08/01/18 15:24:06 | 599  | 599  | 163.747795322  | 158.298345545 |
| 320712:7008 | 08/02/18 02:45:01 | 204  | 204  | 72.348380636   | 69.954246793  |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 121.518863738  | 117.294702561 |
| 320804:7017 | 08/03/18 07:27:51 | 1229 | 1229 | 333.466646972  | 321.453085912 |
| 320807:7017 | 08/03/18 15:28:46 | 7    | 7    | 1.334286465    | 0.352178294   |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 110.340055731  | 107.520282918 |
| 320821:7018 | 08/03/18 23:57:32 | 181  | 181  | 63.255157620   | 60.705106237  |
| 320822:7018 | 08/04/18 01:09:16 | 523  | 523  | 155.994133076  | 150.753180559 |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 83.540139204   | 80.708055449  |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 170.253398695  | 165.859087693 |
| 320838:7020 | 08/04/18 17:31:12 | 265  | 265  | 97.377809341   | 92.793904517  |
| 320840:7020 | 08/04/18 19:20:14 | 471  | 471  | 147.708070064  | 141.873606747 |
| 320841:7020 | 08/04/18 22:26:03 | 205  | 205  | 52.736226231   | 50.842790881  |
| 320853:7024 | 08/05/18 06:48:20 | 329  | 329  | 122.993265933  | 118.672693927 |
| 320854:7024 | 08/05/18 08:59:06 | 125  | 125  | 41.658821455   | 39.891696184  |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 153.157986318  | 147.684966581 |
| 320856:7024 | 08/05/18 13:36:28 | 159  | 159  | 34.922882448   | 33.804579818  |
| 320857:7024 | 08/05/18 14:39:57 | 272  | 272  | 55.294122746   | 53.394452290  |
| 320858:7024 | 08/05/18 16:27:33 | 230  | 230  | 39.484865591   | 37.956002096  |
| 320859:7024 | 08/05/18 18:00:16 | 40   | 40   | 5.206530952    | 4.984693291   |
| 320887:7026 | 08/05/18 22:38:34 | 273  | 273  | 108.443141126  | 104.951658819 |
| 320888:7026 | 08/06/18 00:26:10 | 123  | 123  | 41.454180575   | 39.890650667  |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 7.376413733    | 6.671429990   |
| 320917:7031 | 08/06/18 09:25:17 | 1926 | 1926 | 496.908711948  | 481.886577654 |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 24.984093845   | 24.319887627  |
| 320933:7033 | 08/07/18 03:29:36 | 175  | 172  | 55.728914860   | 52.281787257  |
| 320934:7033 | 08/07/18 04:38:31 | 831  | 826  | 220.358000469  | 212.237454470 |
| 320936:7033 | 08/07/18 10:01:22 | 407  | 400  | 83.825640168   | 79.160795443  |
| 320941:7033 | 08/07/18 12:39:42 | 93   | 93   | 16.362304788   | 15.815345898  |
| 320980:7035 | 08/07/18 15:52:40 | 99   | 99   | 39.825491533   | 38.663675319  |
| 320995:7036 | 08/07/18 19:28:55 | 189  | 183  | 29.658598312   | 26.303361314  |
| 320996:7036 | 08/07/18 20:42:30 | 380  | 380  | 51.555656544   | 49.215571374  |
| 321004:7037 | 08/08/18 01:47:42 | 150  | 147  | 51.596071490   | 47.198878409  |
| 321005:7037 | 08/08/18 02:48:15 | 61   | 61   | 21.521982506   | 19.323217225  |
| 321006:7037 | 08/08/18 03:15:04 | 162  | 162  | 54.464416872   | 52.065981280  |
